street;date;consumption_kwh_per_minute
221 Apple Lane;2006-12-16;0.07027
222 Orange Avenue;2006-12-16;0.07027
223 Cherry Lane;2006-12-16;0.07027
224 Grape Street;2006-12-16;0.07027
225 Banana Boulevard;2006-12-16;0.07027
221 Apple Lane;2006-12-16;0.08933
222 Orange Avenue;2006-12-16;0.08933
223 Cherry Lane;2006-12-16;0.08933
224 Grape Street;2006-12-16;0.08933
225 Banana Boulevard;2006-12-16;0.08933
221 Apple Lane;2006-12-16;0.08957
222 Orange Avenue;2006-12-16;0.08957
223 Cherry Lane;2006-12-16;0.08957
224 Grape Street;2006-12-16;0.08957
225 Banana Boulevard;2006-12-16;0.08957
221 Apple Lane;2006-12-16;0.0898
222 Orange Avenue;2006-12-16;0.0898
223 Cherry Lane;2006-12-16;0.0898
224 Grape Street;2006-12-16;0.0898
225 Banana Boulevard;2006-12-16;0.0898
221 Apple Lane;2006-12-16;0.0611
222 Orange Avenue;2006-12-16;0.0611
223 Cherry Lane;2006-12-16;0.0611
224 Grape Street;2006-12-16;0.0611
225 Banana Boulevard;2006-12-16;0.0611
221 Apple Lane;2006-12-16;0.05867
222 Orange Avenue;2006-12-16;0.05867
223 Cherry Lane;2006-12-16;0.05867
224 Grape Street;2006-12-16;0.05867
225 Banana Boulevard;2006-12-16;0.05867
221 Apple Lane;2006-12-16;0.0617
222 Orange Avenue;2006-12-16;0.0617
223 Cherry Lane;2006-12-16;0.0617
224 Grape Street;2006-12-16;0.0617
225 Banana Boulevard;2006-12-16;0.0617
221 Apple Lane;2006-12-16;0.06167
222 Orange Avenue;2006-12-16;0.06167
223 Cherry Lane;2006-12-16;0.06167
224 Grape Street;2006-12-16;0.06167
225 Banana Boulevard;2006-12-16;0.06167
221 Apple Lane;2006-12-16;0.06113
222 Orange Avenue;2006-12-16;0.06113
223 Cherry Lane;2006-12-16;0.06113
224 Grape Street;2006-12-16;0.06113
225 Banana Boulevard;2006-12-16;0.06113
221 Apple Lane;2006-12-16;0.06103
222 Orange Avenue;2006-12-16;0.06103
223 Cherry Lane;2006-12-16;0.06103
224 Grape Street;2006-12-16;0.06103
225 Banana Boulevard;2006-12-16;0.06103
221 Apple Lane;2006-12-16;0.07413
222 Orange Avenue;2006-12-16;0.07413
223 Cherry Lane;2006-12-16;0.07413
224 Grape Street;2006-12-16;0.07413
225 Banana Boulevard;2006-12-16;0.07413
221 Apple Lane;2006-12-16;0.0902
222 Orange Avenue;2006-12-16;0.0902
223 Cherry Lane;2006-12-16;0.0902
224 Grape Street;2006-12-16;0.0902
225 Banana Boulevard;2006-12-16;0.0902
221 Apple Lane;2006-12-16;0.08707
222 Orange Avenue;2006-12-16;0.08707
223 Cherry Lane;2006-12-16;0.08707
224 Grape Street;2006-12-16;0.08707
225 Banana Boulevard;2006-12-16;0.08707
221 Apple Lane;2006-12-16;0.0878
222 Orange Avenue;2006-12-16;0.0878
223 Cherry Lane;2006-12-16;0.0878
224 Grape Street;2006-12-16;0.0878
225 Banana Boulevard;2006-12-16;0.0878
221 Apple Lane;2006-12-16;0.06757
222 Orange Avenue;2006-12-16;0.06757
223 Cherry Lane;2006-12-16;0.06757
224 Grape Street;2006-12-16;0.06757
225 Banana Boulevard;2006-12-16;0.06757
221 Apple Lane;2006-12-16;0.0564
222 Orange Avenue;2006-12-16;0.0564
223 Cherry Lane;2006-12-16;0.0564
224 Grape Street;2006-12-16;0.0564
225 Banana Boulevard;2006-12-16;0.0564
221 Apple Lane;2006-12-16;0.0545
222 Orange Avenue;2006-12-16;0.0545
223 Cherry Lane;2006-12-16;0.0545
224 Grape Street;2006-12-16;0.0545
225 Banana Boulevard;2006-12-16;0.0545
221 Apple Lane;2006-12-16;0.05717
