ID,Street,Date,Time,Consumption_kWh_per_minute
1,123 Fake Street,2006-12-16,17:24:00,0.07027
2,456 Elm Street,2006-12-16,17:24:00,0.07027
3,789 Maple Avenue,2006-12-16,17:24:00,0.07027
4,444 Pine Street,2006-12-16,17:24:00,0.07027
5,555 Oak Street,2006-12-16,17:24:00,0.07027
1,123 Fake Street,2006-12-16,17:25:00,0.08933
2,456 Elm Street,2006-12-16,17:25:00,0.08933
3,789 Maple Avenue,2006-12-16,17:25:00,0.08933
4,444 Pine Street,2006-12-16,17:25:00,0.08933
5,555 Oak Street,2006-12-16,17:25:00,0.08933
