street;date;consumption_kwh_per_minute
123 Fake Street;2006-12-16;0.07027
456 Elm Street;2006-12-16;0.07027
789 Maple Avenue;2006-12-16;0.07027
444 Pine Street;2006-12-16;0.07027
555 Oak Street;2006-12-16;0.07027
123 Fake Street;2006-12-16;0.08933
456 Elm Street;2006-12-16;0.08933
789 Maple Avenue;2006-12-16;0.08933
444 Pine Street;2006-12-16;0.08933
555 Oak Street;2006-12-16;0.08933
123 Fake Street;2006-12-16;0.08957
456 Elm Street;2006-12-16;0.08957
789 Maple Avenue;2006-12-16;0.08957
444 Pine Street;2006-12-16;0.08957
555 Oak Street;2006-12-16;0.08957
123 Fake Street;2006-12-16;0.0898
456 Elm Street;2006-12-16;0.0898
789 Maple Avenue;2006-12-16;0.0898
444 Pine Street;2006-12-16;0.0898
555 Oak Street;2006-12-16;0.0898
123 Fake Street;2006-12-16;0.0611
456 Elm Street;2006-12-16;0.0611
789 Maple Avenue;2006-12-16;0.0611
444 Pine Street;2006-12-16;0.0611
555 Oak Street;2006-12-16;0.0611
123 Fake Street;2006-12-16;0.05867
456 Elm Street;2006-12-16;0.05867
789 Maple Avenue;2006-12-16;0.05867
444 Pine Street;2006-12-16;0.05867
555 Oak Street;2006-12-16;0.05867
123 Fake Street;2006-12-16;0.0617
456 Elm Street;2006-12-16;0.0617
789 Maple Avenue;2006-12-16;0.0617
444 Pine Street;2006-12-16;0.0617
555 Oak Street;2006-12-16;0.0617
123 Fake Street;2006-12-16;0.06167
456 Elm Street;2006-12-16;0.06167
789 Maple Avenue;2006-12-16;0.06167
444 Pine Street;2006-12-16;0.06167
555 Oak Street;2006-12-16;0.06167
123 Fake Street;2006-12-16;0.06113
456 Elm Street;2006-12-16;0.06113
789 Maple Avenue;2006-12-16;0.06113
444 Pine Street;2006-12-16;0.06113
555 Oak Street;2006-12-16;0.06113
123 Fake Street;2006-12-16;0.06103
456 Elm Street;2006-12-16;0.06103
789 Maple Avenue;2006-12-16;0.06103
444 Pine Street;2006-12-16;0.06103
555 Oak Street;2006-12-16;0.06103
123 Fake Street;2006-12-16;0.07413
456 Elm Street;2006-12-16;0.07413
789 Maple Avenue;2006-12-16;0.07413
444 Pine Street;2006-12-16;0.07413
555 Oak Street;2006-12-16;0.07413
123 Fake Street;2006-12-16;0.0902
456 Elm Street;2006-12-16;0.0902
789 Maple Avenue;2006-12-16;0.0902
444 Pine Street;2006-12-16;0.0902
555 Oak Street;2006-12-16;0.0902
123 Fake Street;2006-12-16;0.08707
456 Elm Street;2006-12-16;0.08707
789 Maple Avenue;2006-12-16;0.08707
444 Pine Street;2006-12-16;0.08707
555 Oak Street;2006-12-16;0.08707
123 Fake Street;2006-12-16;0.0878
456 Elm Street;2006-12-16;0.0878
789 Maple Avenue;2006-12-16;0.0878
444 Pine Street;2006-12-16;0.0878
555 Oak Street;2006-12-16;0.0878
123 Fake Street;2006-12-16;0.06757
456 Elm Street;2006-12-16;0.06757
